reviewText,overall,sentimentScore,sentimentCat,reviewCat
"all of the ps one and ps2 codes just disappeared after 2 months of owning this product. ALL OF THE CODES DISAPPEARED!!! that was 150,000 codes that went into thin air with no way to get them back and with no warranty. UP YOURS AR!!!",1.0,0.0,neutral,negative
"This is a terrible game. Too much flopping, defenders react late like bunch of idiots, your opponents seem to move perfectly, and miraculously they catch up to you. This is not realistic, good graphics but horrible gameplay. I'm returning this item.",1.0,-0.375,negative,negative
"I was looking forward to this game.  I absolutely loved Lords of the Realm 2.  I can pick it up and even play it today and enjoy it greatly.  Part 3 however is awful.  All of the fun parts of 2 are gone.  The battles are boring, and the graphics are really dated.  The game is full of bugs and is just not fun to play.  Playing the game once feels repetative.  This game has no replay value at all.",1.0,0.0,neutral,negative
"Well im not gunna lie i was mad they would not make kotor 3 and replacing with this game was not to my liking. But star wars is star wars i thought playing lego episode1,3, jedi academy, kotor1-2, and mmo player, i was like damn this must be a really goood game better then the crappy wow. WRONG WRONG WRONG, its like  they took a crappy model of wow and a crappy kotor replica with new paint and scotch taped it together! i bought the advanced game 79.99 the security key and the 60 day play card all that was cuz it was star wars and even they gave you crappy bonus save the lil scooter and training droid. it takes for ever to patch 20-30 gigs of content and everything is unbalanced the jedi story sucks which i was like wtf, yeah sith is fun killing stuff but its a boring story line while the jedi was supposed to be crazy suspenseful and with twists and a natural edge on the sith. the graphics are not even realistic theres barley and character customization like pwi etc.. and they all look the same and korriban looks really wack and its just all unbalanced moves characters and the companions look all the same for the same class and just all that money they ask for its not even worth half of it. Yes it just came out and ik it has glitches and bugs that will be fixed but im not even counting that the only way this game will survive is to scrap the whole engiune and model and thats not happening ur basically getting a crappy kotor and mmo with just voice acting. Things don't make sens it will be raining in ome section then no rain in the other no environmental sounds like waterfalls its just really crap..DINT WASTE YOUR MONEY SAVE IT FOR DIABLO3 AND GUILDS WAR 2. I HAVE CALLED EA AND GOT MY REFUND AND CLOSING THE ORIGIN AND SWTOR ACCOUNTS",1.0,-0.2433862433862434,negative,negative
same cheap style they have used for the last 12 years... isn't the new stuff supposed to be better than the old? No other options for replacement!? Where is a wireless headset like the 360 had? Why could i get far superior mics for the last gen console? get your **** together microsoft...,1.0,0.2,neutral,negative
Horrible Forza is filled with micro transactions there is only a few different tracks that get cycled around as you play and get old VERY FAST do not buy this please don't make the mistake I did I ignored all the warnings about this and bought it anyways I wish I didn't it's utter garbage.,1.0,0.0,neutral,negative
"It's so sad because this is really a great game with so much fun for multi-generational play. Unfortunately you can't play much of the game without throwing more and more money in to it.  What an obvious and pathetic money grab from Activision!  All of the game is right there on the disc yet if you want to actually play it you must buy figure after figure which are at least $10 a pop an higher.  Also, even though the little USB portal has a certain little cool factor it gets REALLY annoying having to change characters all the time to play certain phases of the game.  Plus, what's going to happen when that little portal ceases to function or the figures no longer register with the portal?  The game will be useless!  But I don't see why Activision felt the need to come up with such a convoluted system.  Oh yeah, money, that's why.  There are also bugs in the program.  If you get to a certain level and talk to a certain character then you must start all over at square one.  Also trying to coordinate the Wii controllers with the characters is very much a juggling act.  There is no simple way to assign a controller to a character so frequently family members are having to switch around controllers and getting tangled up in the nunchuck wires.  This game is kind of a great idea that turned in to a hot mess.  I say if you have $600 to spend to fully enjoy the game then go for it. The base kit cost is just the beginning.  Otherwise you're going to feel the squeeze from your kids and Activision to get any enjoyment out of the game.  To be clear, the starter kit is HIGHLY inadequate to enjoy the game. You will be spending MUCH more money in the end.  Shame on you Activision and this will be the last game we buy from you.",1.0,-0.05000000000000001,neutral,negative
"-----My opinions----

I started playing the 2k series at 2011 but its was 2k12 that got me hook to this game. I just bought the game 2k13 at gamestop for $65 including tax( what a rip off, $60 for a game is overpriced and the tax literally heighten my anger) and I just want to return it asap. I feel my money is getting wasted. In nba 2k12 I reached all star lvl not to say im a pro but i play this game often. Im just expressing my views of the game no offense to anyone, Im a casual gamer and I hope this will help those who are debating about the game make a decision.

My list of pros and cons for 2k13:

Pros:
1) somewhat better graphic,thru i really didn't notice any major improvement or difference
2)Update roster (kind of the only reason I buy)
3)online play is more stable now

cons:

1)Minor control changes here and there (the ally hoop button change to a bad spot,sub,view,etc)
2)Notice the gameplay is not as fluid or rapid as 2k12 (idk if its just me or what i notice the players run really slow compare to 2k12?)
3)Too many Jayz ( don't get me wrong I love his songs but I don't want to only listen to one artist for the whole time I will be playing this game)
4)Last years covers is way better than this years (Im cool with d rose and durant, but BLAKE GRIFFEN? He is the most overratted dunk champion of all time and literally have no skills besides dunking) (FYI: LAST YEAR IS WAS JORDAN MAGIC AND BIRD....3 )
5)Too many decorations, not as real as the last one.
6)Shots selections are weird, felt like 2k make this game very complicated now (certain buttons activates certain more,etc)
7)SINCE I DIDN'T ""PREORDER"" THIS GAME IM NOT ENTITLE TO ALL STAR BONUS ETC,WHICH IS COMPLETELY BULLS BECAUSE I PAY FULL RETAIL FOR A BRAND NEW GAME AND IM STILL NOT ENJOYING THE WHOLE GAME.

CONCLUSION: If you want to buy this game I strongly suggest you go try this game at your local game store first before buying it. Be prepare to not have the all star bonus stuffs even thru you pay good money. Your best bet will be to wait till this game's price drop, its almost holiday season. This game will go on sale.",1.0,-0.21923076923076926,negative,negative
"Capcom is all about milking the franchise, so it's no surprise that SUPER Street Fighter IV is launching 13 months after SF IV. A few ""new"" characters, lots of tweaking, and rock bottom low price to get you to buying this weak update. If they needed to tweak:

 - The impressive new roster includes classic combatants from previous Street Fighter games like T. Hawk as well as all-new characters such as the mysterious and deadly female fighter, Juri.

- Super Street Fighter IV adds new Ultra Combos and advancements to the state of the art online matchmaking and online game play introduced in Street Fighter IV with numerous additional features

 - Super Street Fighter IV takes many of the groundbreaking features introduced in Street Fighter IV and refines everything to deliver the ultimate vision of Street Fighter to fans the world over.

It's shouldn't be a new stand alone game, it should be a free expansion update for what is clearly a lack of game testing before it went to market.",1.0,-0.33333333333333337,negative,negative
"I picked up this game months after release, and I'm frustrated to say that it's still completely broken.

I've started the game 8 times, each time with different characters, before/after restarting the console,.. I've tried everything.  It crashes at the end of the first chapter (aka, when you're supposed to start the game), and when you log back in, all of your items are gone and end up in an empty world.  So, then you start over, recreate your character, do the whole tutorial missions over, and then it'll crash again at the end of the chapter.  Rinse / Repeat.  I just wasted hours of my time attempting to play this game with a friend-- it was broken for BOTH of us, in different homes, on different systems.

It's a known bug on their forums, and it's shameful that the game still doesn't work this long after release.  For the first time ever, I'm going to attempt to get a refund on the game simply because it doesn't work.

Horrible.  Broken.  Don't buy.",1.0,-0.5833333333333334,negative,negative
"Blizzard used to be such a great company. Things have changed. They don't really care about customer input. Some will agree with me, some will not. Here are my reasons why I won't be buying this or possible future blizzard titles.

Diablo 3 requires a constant internet connection at all times. Drop your connection, drop your game, start from your last save. Blizzard claims that they want their online auction house to work so they have to require online. From what I remember of D2 you had to have separate characters for online and offline. This would a great idea for D3 because they would still do their silly auction house, where people will get ripped off by the ones and zeros that Blizzard puts out for people who want to pay out more. They're going to turn it into a ""pay to win"" style game.

Online always means no mods. The only way you'll ever get mods for this game is if you get a pirated version of this game. It's pretty sad. Games like the elder scrolls had amazing mods and didn't have the hilariously stupid drm.

NO LAN. again I'm going to say it. NO LAN. you'll have to have excellent internet for you want your buddies to be able to play together. I like to be able to banter with my friends in the same room. Not all of us have or want to pay for fast internet. It's so sad to see developers stop support for LAN

Blizzard merged with Activision. They don't care about customer input. They're pretty arrogant of their prices. They're still trying to sell the original Starcraft for $20. IT CAME OUT IN 1996! Let it drop. All their other game keep their prices as well. In my opinion Valve has a lot better thing going for them. They'll release a game and keep the price high during it's prime marketable time and then they bring in to a reasonable price. Blizzard doesn't listen. They deserve 0 stars if I could give it to them. I like the old blizzard back in the day when they cared about customers.",1.0,0.26262626262626265,positive,negative
I did three betas for this game and as a long time mmo player and beta tester i can only say that this game is a insult to the genre. It is dumbed down garbage and contributes nothing to online gaming. Its a massive step backwards for mmos. 15 dollars a month? Yeah right. This steaming pile will be free to play by the end of 2014. And not in a succesful way like say rift is. My only hopes for mmos now are star citizen or everquest. Game producers need to actually start giving us our moneys worth. A 2000 computer can do so much more than these pathetic games they are continually rolling out. Pc gaming is supposed to be high and gaming. Playing this game felt like i was playing on some dated console. Maybe thats because this garbage was made for consoles that at launch are basically what my computer 4 years a ago was capable of doing. Dont waste your money.,1.0,0.0,neutral,negative
"Ok this game had a neat concept when i was browsing the shelves at my college rental store for games to pick up. I get home and pop it in and it's the worse GTA wannabe game I've ever played and I've played a lot. The idea of having to kill cops is..whatever. The game itself has terrible control and graphics are very choppy

The A.I. seems to have a brain when it wants to but things are definitely out of wack with this game. In the very beginning of playing I got shot in the foot and my character died.",1.0,-0.6666666666666666,negative,negative
I'm sure I would like the game had I not paid Amazon for the game then I spend a long time getting it downloaded only to be advised I'd have to pay for it yet again to the tune of an additional $9.99 for the key code..... so no I can't say I like this game.,1.0,0.0,neutral,negative
"Straight up, this is a sub-standard 3-D environment game, lacking originality and fun, looking to catch the little kids with its high cute factor. If you want an action game, this isn't the place to look. This game is my worst PlayStation game EVER!",1.0,-0.16666666666666666,neutral,negative
This Game Sucks The First Was Better. It Has More Guns And Monsters But The Online And Offline Co-Op Make It Worse. The Graphics Are Slightly Better Than  The First But The Interface Is Bad. Buy The First!,1.0,-0.25,negative,negative
Middle mouse button stopped working after only owning it for 2 months.,1.0,0.0,neutral,negative
"First of all, yes I'm aware of the minimum system requirements, I'm running an Intel i5 3.3 ghz, on Windows 7 64bit, 8gb of ram, EVGA Nvidia Geforce 570 GTX with all new drivers installed and verified, including a bios update. I've contacted Ubisoft to troubleshoot and they've verified my system should be running the game fine. System temperatures are running within the normal operating ranges (verified with Everest, as well as Speccy). I also have a Corsair H80 GPU Liquid Cooler. I'm running on the lowest graphics settings, although I shouldn't have to, since my build runs Tera, Skyrim, BF3, all at the highest resolution.

The problem is, every 5-10 minutes, the game (after running smoothly without a hitch for those 5-10 minutes), crashes unexpectedly and inexplicably to the desktop. I can still hear the background voices and sounds of the Boston streets, but the program just stops responding and I have to Ctl+Alt+Del and end the program.

I bought the darn thing on PS3 just to play the game, and am pursuing a refund on the PC version. I've been on the Ubisoft forums, and there are a few who experienced the same issues. I'll install on a 32 bit windows system later on and see if I have the same problems. Really disappointed since I was looking forward to the game and it seems like it'd be fun. But the crashes make it unplayable, even after the first day patch, and the Thanksgiving patch.",1.0,-0.013888888888888895,neutral,negative
"saints row took a huge dive! I use to love these games! I thought the last one was far fetched but this one pushes it. The story is ridiculous, the graphics are terrible and playing as Gat isn't nearly as cool as you would think it would be. This game was a huge let down. Also the controls suck. Rent the game before you buy, even if you are a huge fan.",1.0,-0.14285714285714285,neutral,negative
The Controller Looked  used and did not charge the battery with a Microsoft play and charge kit and the rumbles were too soft too the touch I returned.,1.0,-1.0,negative,negative
"I am not able to use it because the PS4 I ordered did not work, so I am not able to give a rating.",1.0,-1.0,negative,negative
"Christmas gift for our son, we are sure he will love it",1.0,1.0,positive,negative
"This game could have and should have been one of the great RPG's of PC gaming. But due to the instability of the game it is and will be remembered as just another buggy mess of modern games. I have done all i can do to get this game to run well and even at a resolution of 1200 X 800 (which is what most who can run it do run it at)forget the fact that at this rez it looks like a 10 yr old game,  it still crashes and freezes. And now after all this time Bioware says they are creating a patch? Just glad i waited for the $20 price tag before purchasing this mess.",1.0,0.1,neutral,negative
Microsoft should have released this as a FREE download on their website the way they do for other games. They essentially are milking you out of even more cash. Booooo. Hissss. Find a friend that has this and have he or she install it on your xbox (your xbox will remember the new maps - you don't need to keep the disc).,1.0,0.2,neutral,negative
"A friend of mine gave me this game for free.

That was still too much to pay for this boring shooter. Feels like playing tribes, only not as fun. How on earth did the halo franchise get so popular?",1.0,0.25,positive,negative
this game all the enemys are perfect shots but you can never hit any thing the enemys do not die when hit do not reload and respawn history chanel sucks,1.0,1.0,positive,negative
I have purchased hundreds of items thru Amazon and I've got to say that the computer game downloads have been a big disappointment. I purchased two downloads and had problems with both. The first one froze my computer and this one won't download.  What a waste of money. Won't be purchasing these type of products again.,1.0,-0.8,negative,negative
"Not very many sounds, but a huge board and knobs and switches to distort the lame sounds they have
 waste of money",1.0,0.0,neutral,negative
I paid under $5 and I feel ripped off. The game is slow! Graphics are outdated. Overall it's just boring! The most fun I had while playing the game for all of 10 minutes was renaming my villagers stupid names.,1.0,-0.6,negative,negative
"I had finished Ratchet Deadlocked and okay maybe not the best but still, its got some intersting stuff to it, but this? No. Abso-!@#$%^&-lutely not. The disappointment here cannot be described. The game had too few weapons, some were useless, and the game was just awful. Nothing good came from this game. Nothing. This game looked like someone was just not committed to the R&C name. This is what happens when someone who is NOT the original creator makes a new game in a beloved series without knowing what they are getting into. This and Secret Agent Clank are both total failures. 1/10 and it gets the 1 only because this is not an original console title as it was on the PSP first. Still you expect something good with Ratchet and Clank on the cover. NOT THIS TIME!",1.0,-0.2857142857142857,negative,negative
"This game was 10 years in the making and what a disappointment. We are a year after release and the game is still a disappointment.

Pro's:
Pretty much none, if you really had to reach for one I guess you could say the graphics were ok.

Con's:
- Little content on release
- No depth to the game or characters
- No character customization
- Still can't even dye legendary or set items
- Very limited stash
- A year later and they have only added minor updates like monster power, paragon levels, brawling
- They released an article showing ""how much work they have done"" on diablo over the past year, and had so little work to show for it that they had to include the PTR data and multiple versions of each release they did to make it look like there was far more content added than there really was.
- game economy is in the trash, gold is worthless once again.
- Constant glitches, hacks, and gold spammers again
- last round of glitches allowed billions of gold to be duped by players (not the first time, and certainly not going to be the last).
- Game is still unstable crashing on occasion and lagging for many people still. Once again the game crashed on my Hardcore monk without a single mob around and yet he somehow still dies.
- Customer support is a joke, Blizzard has proven time and time again that they could care less about customer satisfaction. Any time they have issues they simply take down the boards and all support lines so people can't publicly complain. I guess if they can pretend they don't see it they can pretend it doesn't exist.
- Crafting once again is nearly worthless.
- Items are worthless, I have level 60's of every char and have played hundreds of hours and found hundreds of legendaries and yet the best item I have found was mediocre at best. Almost everything you pick up off the ground is nearly worthless.

There are so many issues with this game it's a joke. This should have been a major title for Blizzard and they not only dropped the ball, but they popped it and set it on fire. This is the last straw for me. I refuse to purchase any future Blizzard games as they have proven without a doubt that they simply don't care about their customer base. Don't waste your money on this game and for gods sake don't waste any money on the real money auction house. Show them that you demand better quality games by hitting them in the wallet where it hurts since money is the only thing they care about.",1.0,-0.4842105263157896,negative,negative
"Some people are giving this game good reviews. I can only say that they must be five or have never played a video game before. This game has an interesting idea, but fails to execute. It is boring the story is stupid and the graphics are sub par. This game is perhaps worth [...] not too much more. On a positive note the trophies are really easy. Pause the game and get a trophy. I am embarassed to have this game in my collection. Stay away at all cost this game is a hazzard.",1.0,0.3333333333333333,positive,negative
"I paid about 20$ for this game brand new in the case sealed and i was practricly standing on my mail box waiting for it. When i got it, to my suprise, instead of playing for hours without blinking, it did not work...... it loaded up to the menus and that alone was why i gave it 1 star... before the campaign it just stayed on the loading screen for maby an hour and i just gave up on it.....dont buy this game! save yourself the hard earned dowe and buy san andreas and shoot down jets with the ""rustler"" instead.",1.0,-0.6666666666666666,negative,negative
"This game isn't that good.  The battle is slow, and i just didn't like it Disagea looks much better get that or another rpg.  Don't waste your money on this game.",1.0,-0.6666666666666666,negative,negative
"I know this collection is a bargain price, but there is just one major problem. That is the difficulty. The games are by nature difficult, but you pretty much have endless continues. It's kind of like Mario Brothers in that once you used the warp zones and stepped on the turtles you could easily beat the game. The only difference here is you can continue anywhere and you are not running out of quarters.

Another thing that is missing is strategy. These are all action games that the enemies and obstacles are in a pattern. Once you very tediously mastered the pattern you win. But you will not have to master the pattern because you can just continue.

The only games that are worth playing are the Street Fighter series. At least there is strategy behind your moves and combos. And though you have endless continues you still have to win the fight.

I recommend you don't buy this series and leave retro games to roms. I'm an older gamer and while I grew up playing games like this series and have no clue why I thought it was fun. The are some classics that are good like the original Zelda, Pac Man, Mario Brothers. I just prefer a modern shooter, role playing, strategy, or simulation.  The elements behind these action games have already been exhausted and its time to play modern games.",1.0,0.1176470588235294,neutral,negative
"I love mini golf so when I saw this I had to check it out.  I am very glad I rented it first and didn't just blind-buy it because we played 6 holes and turned it off, never to play it again.  The most fun was picking out your outfit so that says a lot.  The controls just don't work (especially your swing strength) and the holes aren't fun.  I like seeing where the hole is and putting to get the ball in...that is mini golf.  This had too many antics and obstacles and was more frustrating than fun.  Big disappointment, but not as much as if I had bought the game first.",1.0,0.2857142857142857,positive,negative
"Disgraceful game to sonic's title the speed of light he's supposed to be fast not slow if anyone wants an excuse to like Sonic the Hedgehog 06 this is it this game ruined it all. I'm not even gonna bother touching this game as a true Sonic fan I'm gonna wait for Sonic Boom Fire & Ice because they're supposed to bring his speed back in it. If you've played Sonic games over the ages you would see why many people are complaining about the nerfing of his speed and combat system. Apparently Sonic Team thought it would be better to nerf the speed because of modern kids and they think kids are stupid but they're not.

If money satisfies anyone they need to do a better job at the storyline development and bring back the older Sonic the Hedgehog if they want to attract real paying customers. You gotta remember games are also about the business of the company not that I'm saying they don't care but they need money to succeed in there operation to satisfy the gamers. For one they still have not made a Silver the Hedgehog game even though they made one with Shadow the Hedgehog that would bring in good money to the company if they did a game like that I would surely play it. If you are looking for a sonic game to avoid please avoid this one at all costs you're gonna regret it!",1.0,-0.5,negative,negative
This game sucks just like project car.  What ever happened to making simulated racing games like Gran Turismo and Forza Motor Sports Racing games rather then making disappointing arcade simulated racing games such as this game without upgrades for the cars and hard to understand tuning on all cars.  Plus The race line in this game sucks I have never seen a race line that never changes colours until this game and due to that I got rid of this game and got Gran Turismo 6 on a trade in at Game Stop today.,1.0,-0.4444444444444444,negative,negative
"If you want a lot of headaches then buy this game outright. If you want to be smart about it download and try the demo first. Different people like different things, so you may love this game or hate it, gameplay-wise. What is not in dispute though is that the game is definitely buggy. That point has come through in review after review, so do you're self a favor and install and play the demo first. I expect we'll see a patch and a re-release of the demo in the near future, due to these issues. But testing your system out with the free demo will give you the ""heads-up"" as to whether or not the game will be stable enough with your drivers/system specifications.",1.0,-7.930164461608259e-18,neutral,negative
has to have internet,1.0,0.0,neutral,negative
"This game from what I have played seems fun, however being able to sit down and play is not a guarantee. I made the mistake of rushing into the purchase of this title not realizing that there was not an ""offline"" single player mode. When I did get to play I got popups saying it couldn't save my game, or I was disconnected from the servers. I have yet to be able to login after attempting to build a city, and actually find the city I was working on. ALL MY CITIES ARE NOT BEING SAVED! I don't know if anyone else has this problem, but it's freaking annoying for me.",1.0,-0.16666666666666666,neutral,negative
dont support scalpers,1.0,-1.0,negative,negative
